"article_name"	"discussion_text"
"الصلاة في الإسلام"	"تحويل نقاش:صلاة(إسلام)"
"لينوس تورفالدس"	"تورفالدس أم تورفالدز؟-- 18:56، 12 يوليو 2008 (UTC)"
"موسكو"	"روسيا يقع الجزء الأكبر منها في آسيا لذا عاصمتها موسكو تعد أحد عواصم آسيا أيضا. تحياتي خالد --Oxydo 22:15, 8 أغسطس 2005 (UTC) موسكو لديها أحد أكبر الملاهي في العالم ويسمى(بالكلتوري) Please fix my trascription مرحبا Sorry, my Arabic is very poor, so is my keyboarding skills. Can someone please fix the format of the transcription of Moskva (Moscow) I added? If someone is adding any Arabic content about Russia, you contact me to check the Russian pronunciation. Interested in Arabic. You can contact me on English or Russian pages - my account name is atitarev Sorry if this inappropriate here! شكرا جزيلا"
"اليمن"	"
 يقالتاريخ عسير وجازان غير صحيح بتاتاً وما يؤرخ هو فترة الامام ( المخلاف يمتد من حرض (حالياً شمال اليمن إلى قرب مكة المكرمة وظلت تسمية المخلاف السليماني بهذا الإسم إلى منتصف القرن الرابع عشر الهجري . [2] [3] .كيف ضمت تهامة الى اليمن ؟؟المخلاف السليماني قسم الديانة أعتقد أن قسم الديانة حذف خطأ فأعدته إلا إن كان هناك سبب لحذفه فأنا لا أعلمه-- يوسف  (نقاش) 02:36، 26 أغسطس 2012 (ت ع م) لا توجد إحصائيات رسمية بشأن الدين.. و المصادر الثلاث المرفقة متعارضة لذلك وضعت التقدير فاقل تقدير قال ان الزيدية ٣٠% من تعداد السكان و اعلاه قال ٤٠% الدين إسلام 
وكثيرة سنية محمد نبيل الخلالي (نقاش) 15:07، 21 يوليو 2014 (ت ع م) الاسلام الاغلبيه سنيه فقط العلم الصحيح ملاحظه عن الجدوله لليمن ملاحظة يا أخواني عن الجدول الرئيسية للتعريف باليمن .. أرجوا تحديثه ..لانه نوع سكربتاته من HTML وما قدرت أغيره ملاحظة هذه المقالة ليست منتدى لكشف الأسرار الإقليمية والسياسية، الرجاء الإلتزام بالحيادية. هراء ما هذا الهراء في فقرة الدين:
الديانه الاكثر انتشارا في اليمن الاسلام ويبلغ عدد السنه 99% والبقيه 0,67% من الزيود و 0,33% من الاقليه الشيعيه بالاضافة الى اقلية من اليهوديه و قليلية من المسيحية و الهندو
هذا كلام هراء ولا يمت للعقل والواقع بصله ويقارب عدد الشيعة الخمسة ملايين اي حوالي 25-30% من السكان
ولكن لا إحصائيات مثبتة ولهذا فساقوم بحذف هذه التفرقة الطائفية التي لا اساس علمي لها Thabet (نقاش) 23:42، 17 يناير 2009 (UTC) السلام عليكم ارجو من الاخوه تعديل فقديما كانت اليمن تسمي ((ببلادالعربيه السعيده )) كما مذكور في العهد القديم "" التوراة وليس (بلاد اليمن السعيد)هذه تسميه حديثه وشكرا الرجاء التعديل الرجاء التعديل في نسبه السكان لاني ماعرف اعدل و هذا الاحصائيه الصحيحه July 2008 estimate 23,013,376 (51st)
July 2007 census 22,230,531
Density 42/km2 (160th)
109/sq mi تطوير المقال يرجى من الأخوة اليمنيين بشكل خاص، الاهتمام بتطوير هذه المقالة بعيدا عن الخلافات السياسية التي يعاني منها اليمن. من يجد أخطاء في المقال سواء كانت تاريخية أو غيرها ولديه الرغبة بتصحيحها فليتفضل على أن يضع مصادر توثق هذا التغيير.--Email4mobile (نقاش) 23:34، 3 فبراير 2010 (ت‌ع‌م) الترشيح قمت بحذف قالب الترشيح بواسطة احد الاصدقاء ولم يستطيع اضافة قالب مقالة مختارة ، بانتضار حل المشكلة  . -- 15:53، 12 نوفمبر 2012 (ت ع م) ثورة الشباب اليمنية في قالب المعلومات أدرجت ثورة الشباب اليمنية تحت مراحل ""التأسيس""، مع أن الجمهورية اليمنية ما زالت قائمة.  فأقترح حذفها من هذا المكان. --Fjmustak (نقاش) 06:55، 22 نوفمبر 2012 (ت ع م) التوزيع على اساس مذهبي ابتداءًلايعرف اليمنيون التفسبم على هذا الاساس وان لم يوجد ما يدل هلى احصاء لكن التقديرات بالنظر الى مكون اليمنيين ان شئت فأن 60% زيدية اقرب الى الواقع ان لم يكن اكثر من ذلك لكن مصادر المعلومات للباحث ذا مصدر يجانب الصواب لفرض سياسي قي الاعم مع بعض التعصب لمكونه --41.234.212.159 (نقاش) 06:09، 3 أبريل 2013 (ت ع م) :* هات المصدر--«عَبْدُ ٱلْمُؤْمِنِ» (نقاش) 23:08، 4 أبريل 2013 (ت ع م) النظام الجمهوري مذكور في المقالة أن اليمن هي الدولة الوحيدة ذات نظام جمهوري في شبه الجزيرة ، وهذا خطأ فإن العراق أيضاً جمهورية وتقع شبه الجزيرة فكيف ذلك؟--ن.ح (نقاش) 16:21، 5 أبريل 2013 (ت ع م) :تضم شبه الجزيرة العربية 7 دول         -- 17:25، 5 أبريل 2013 (ت ع م) ::من ذا الذي يعتبر العراق من دول شبه الجزيرة؟ حسب علمي فمستر إبراهيم على صواب--«عَبْدُ ٱلْمُؤْمِنِ» (نقاش) 17:44، 5 أبريل 2013 (ت ع م) انظر مقالة شبه الجزيرة العربية، فإن العراق تعتبر جغرافياً من شبه الجزيرة --ن.ح (نقاش) 20:21، 5 أبريل 2013 (ت ع م) صحيح ولكن ليس كل العراق ضمن الجزيرة العربية واعتقد ان البصرة هي الجزء الوحيد من جمهورية العراق ضمن جغرافيا الجزيرة تاريخياً، لذلك فإن ناحية سياسية لا يعتبر العراق جزءاَ من الجزيرة العربية--يوسف (نقاش) 23:27، 15 ديسمبر 2013 (ت ع م) الحوار اليمني و بعده عن قضايا الجنوب العربي بسم الله الرحمن الرحيم والصلاة والسلام على رسول الله صلى الله عليه وسلم  أتمنى من المحررين طرح او تعديل عن ما يخص الجنوب العربي بحيث انه توجد فيه فرقتان فرقة الحراك الجنوبي والاخرى شباب تحرير الجنوب وانه يقام كل نهاية شهر مليونية ولكن الاعلام ساكت عن هذه القضية التاريخ الحديث لم حُذفت أحداث القرن العشرين واحداث ثورة الشباب من المقالة -- 20:01، 27 يونيو 2013 (ت ع م) اختصار التاريخ هذه المقالة جميلة جدًا، ولكن فقرة التاريخ طويلة جدًا جدًا، وبالغة التفصيل؛ هل يمكن من مطوري المقالة أن ينقلوها إلى مقالة تاريخ اليمن، ويعيدوا صياغة فقرة أوفر اختصارًا؟.--Sammy.aw (نقاش) 10:25، 21 يناير 2014 (ت ع م) أؤيد سامي فيما ذهب إليه. أرى أن وضع المقالة قبل فترة قليلة كان أفضل بكثير، حيث أن هناك استطراد وتفصيل مبالغ بهما في فقرة التاريخ المعاصر وما بعده إلى درجة الشعور بالملل. كما أن هذا أدى إلى ترهل المقالة ووصولها إلى حجم غير معقول! --Freedom&#39;s Falcon (نقاش) 22:09، 29 مارس 2014 (ت ع م) : سأعمل على اختصارها ونقل التفاصيل الى مقالات جديدة حالما انشئها.. فالتفاصيل بحاجة لمقالات جديدة غير موجودة حالياً.--يوسف (نقاش) 22:16، 29 مارس 2014 (ت ع م) :أنشأت صفحة معارك الحوثيين وحزب التجمع اليمني للإصلاح وسأعمل على نقل الكثير من قسم التاريخ المعاصر اليها--يوسف (نقاش) 22:23، 29 مارس 2014 (ت ع م) حسنًا، أشكرك على مجهودك في تشذيب المقالة، وفتح الوصلات الداخلية. ولكن بصراحة، هي لازالت بحاجة  لنقل المزيد من محتواها في الفقرات التاريخية الحديثة إلى مقالات أخرى مفصلة.   يمكنك دمج كل من الفقرات التالية (المملكة المتوكيلة، اليمن الشمالي، اليمن الجنوبي، المرحلة المعاصرة، الاحتجات الشعبية، والفترة الانتقالية) ضمن فقرة رئيسية واحدة هي التاريخ الحديث، حيث أنه لا داعي أبدًا للاسترسال في الشرح عن تلك الفقرات طالما أن هناك مقالات مفصلة عن كل مرحلة منها،  بل يكفي تغليظ الخط لعنوان كل مرحلة مع شرح موجز وبسيط  - أنظر هذا المثال و هذا. كما أنه لا يُعقل أن يُخصص لفترة انتقالية مدتها 3 سنوات أكثر من تاريخ اليمن القديم الذي يمتد لآلاف السنين! شكرًا لتفهمك. --Freedom&#39;s Falcon (نقاش) 09:13، 30 مارس 2014 (ت ع م) • هذه المقالة يفترض انها تتحدث عن اليمن من وجهة نظر محايدة لانها صفحة تبتغي اثراء معلومات القارئ عن اليمن، و لكن للأسف فقد لاحظت انك تتحدث عن الفترة الانتقالية و أطراف العملية السياسية و كأنك المتحدث الشعبي باسم حزب المؤتمر الشعبي او جماعة الحوثي..!
فآمل من الجميع إبلاغ المحررين عن هذا التعارض الصارخ بين ما يبتغى من هذا المقال و ما تم إضافته من آراء سياسية شخصية لصاحب التعديل عليه. (نقاش)
 لماذا؟ هناك تخريب أو مسح في صفحات المطبخ و  النقل والمواصلات و الحكومة في المقالة 
ابراهيم زين العابدين (نقاش) 08:08، 4 فبراير 2014 (ت ع م) اليمن أكبر مدن :حضرموت من حيث المساحة
أكبر مدن :صنعاء من حيث عدد سكان محمد نبيل الخلالي (نقاش) 15:09، 21 يوليو 2014 (ت ع م) ثورة الحوثي؟ السلام عليكم، أخ ، ماهو سبب تسميتك لمعارك الحوثيين بالثورة مع تعمدك ذكر ثورة الشباب اليمنية بأنها أزمة 2011 ؟ ماهي المعايير التي حددت هذا التنوع، هل انضمام المشائخ وعلي محسن 2011 حولها أزمة، وانضمام عبدالملك الحوثي وعلي عبدالله صالح جعلها ثورة ؟؟-- 18:14، 14 نوفمبر 2014 (ت ع م) السلام عليكم الى صاحب المقال ارى انك تقحم السعودية في كل صغيرة وكبيرة 
مثال
التركيبة السكانية
العلاقة بين المجموعتين الدينيتين الأكبر في اليمن وهم الزيدية والشافعية كانت جيدة.[65] منذ عام 1979، تزايدت أعداد معتنقي الوهابية في اليمن ولا إحصاءات رسمية بشأن أعدادهم.[66] إلا أن تقديرات غير رسمية قدرت أعداد طلاب المدارس الوهابية  التابعة لحركة الاصلاح بثلاثمائة ألف نسمة، وذلك وفقا لجهات مرتبطة بتلك المؤسسات الممولة سعوديا.
و
لنفط والغاز
والحدودية حالت دون عمليات التنقيب لإن السعودية لا تريد اليمن أن تكون مستقلة إقتصادياً. انك تحب السعودية او ايران او تكرهما فهذا شأنك ولكن لا تدلس على الناس فانت تكتب تاريخ والله سيحسبك 
لازال اليمنيين يحلمون المخلاف يمتد من حرض (حالياً شمال اليمن إلى قرب مكة المكرمة وظلت تسمية المخلاف السليماني بهذا الإسم إلى منتصف القرن الرابع عشر الهجري . المخلاف السليماني محمد بن علي الإدريسي خلف الدولة العثمانية محمد بن علي الإدريسي تدخلات اليمن في شأن جازان وعسير اطماع الامام يحي الحرب السعودية اليمنية نقاط في 3 ما يو 1924زحف عبد الله بن أحمد الوزير لحرب الأدارسة واستولى اليمنيون على ميناء الحديدة وغيره من موانئ تهامة ومدنها. وعين الإمام ولاته عليها. ثم واصل الجيش تقدمه صوب عسير، وحاصر مدينتي صبيا وجازان. في 2 يونيو 1931 القوات اليمنية التابعة للإمام تشن غارات على مناطق الحدود اليمنية السعودية في عسير، وتستولي على عدد من المناطق الآهلة بالسكان. تهامة لنا ولو طال الزمان اخذت وهمشت ليست منكم ولا تربطها بكم أي صلة اللهجة واللباس والطعام كله ينطق أنها منا هذا النص اقحم في تاريخ اليمن ويتواجد قرابة 4 ملايين يمني في المملكة العربية السعودية مواطنين ومقيميين، وتعتبر مناطق نجران وعسير وجيزان تاريخيا جزء من اليمن ضمتها المملكة العربية السعودية ويتواجد بها نحو ثلاثة ملايين يمني حاملي الجنسية السعودية وينتمون لنفس قبائل شمال اليمن ويشكلون اغلبية السكان في نجران وعسير وجيزان. ويقدر عدد المجنسين والمقيميين اليمنيين في السعودية بقرابة مليون آخرين وينتشرون في كافة مدن ومناطق المملكة العربية السعودية.-- سؤال في عام كانت اليمن تحكم جازان وعسير ؟ Ihkariri (نقاش) 10:29، 26 أبريل 2015 (ت ع م)"
"مسجد"	"أرى ان يكون هناك قسم عن الفرق بين المسجد والجامع.--Aa2-2004 (نقاش) 07:34، 27 يوليو 2011 (ت ع م)"
"الاتحاد الروسي"	"لماذا تستخدم تسمية الاتحاد الروسي ؟؟ هذه التسمية ليست شائعة و هي رسمية فقط !!! أعتقد أنه يجب وضع تسمية روسيا المتداولة بين الناس حتى الروس أنفسهم !! --حكيم دمشق 12:39, 7 ابريل 2006 (UTC)"
"أسامة بن لادن"	"الله يرحمك ياشيخنا وأميرنا وقائدنا وتاج رئورس العرب والمسلمين هذا المقال يفتقر الي الحياديه بشكل كبير ارجو الالتزام بها ريان17:44، 13 أبريل 2012 (ت ع م) تعليق عام يرجى من المناقشين محاولة اتباع قواعد ويكيبيديا في الكتابة مثل التوقيع بأربع مدات ّ~~~~ وكذلك عدم وضع مسافة أو فراغ في بداية السطر بطرية مفتاح المسافة ولكن يمكن استعمال النقطتين : أو النجمة بدلا من ذلك. لقد حاولت معالجة بعض هذه المشاكل.--Email4mobile (نقاش) 14:07، 8 أكتوبر 2009 (ت‌ع‌م)
لا يمكننا أن نتفسخ من الذوق العام والأخلاق والإشفاق والإنسانية لأن شخصا ما لا يرضي آخرون، مات أسامة بي لادن أو استشهد ففي النهاية يات موضوعا لكثير من النقاشات السياسية التي تعجب البعض وتبغض البعض الآخر، 
ولا يمكن أن نجد اليوم أي كاتب عربي أكثر حيادية من الكاتب ورئبس تحرير القدس العرب السيد عبد الباري عطوان ، ورغم خلافه الواضح مع نهج الرجل وإيديولوجيته فإنه من أكثر الناس إعجابا به.
رحم الله أسامة بن لادن فقد كان في حياته مقاتلا شهد له كل أعدائه بالشجاعة، وأنا أعتقد أن الخطأ في نهجه من فعل أتباعه مثلما هناك الكثير من الإيديولوجيات التي حرفت بفعل تشدد الأنصار، بل الديانات أيضا.
أنا شخصيا أختلف مع أسامة بن لادن كثيرا، بل كامل الإختلاف، لكن هذا لا يمنعني من أعطيه حقه كشخصية بارزة من أكثر 10 شخصيات تأثيرا في العالم
لقد أخطأ أخطاءا كبيرة جدا، لكنه الآن ميت ولنا في ديننا أسوة حسة فالنكف عن الرجل ولنتبع قواعد ويكيبيديا في الطرح والنقاش والحياد والموضوعية. بقلم/عبد الله ولد محمد آلويمين
--82.151.87.171 (نقاش) 19:23، 3 مايو 2011 (ت ع م) تحيز وإعادة كتابة المقالة تصور بن لادن كإنسان بسيط ومتواضع وكأن التنظيم الذي قاده ليس مسؤولا عن مقتل الآلاف من المدنيين كما في تفجير مبنى الأمم المتحدة في بغداد ومجزرة الموصل وتفجيرات القحطانية ومجزرة سيدة النجاة وتفجيرات الدار البيضاء وتفجيرات لندن وتفجيرات مدريد بالإضافة إلى العديد غيرها. معظم الأقوال فيه وأشعاره التي لا معنى لها لا مصادر لها (على الأغلب غير صحيحة). --Rafy راسلني 20:02، 3 يونيو 2011 (ت ع م) اخي رافي بن لادن ليس مسؤلا قضائيا عن هذه العمليات بل تنظمات تتبنا اسم تنظيمه وعلى الاشخاص الذين ايدوه او مجدوه فهذا ليس راي الكاتب او ويكيبيديا بل راي صاحبها وهو مسؤول عنها--Iljia (نقاش) 10:55، 2 يناير 2012 (ت ع م) اين الحيادية انا لا اعتقد في هذا اي حيادية بل الكاتب متأثر به كثيرا بل الحق احق ان يتبع مقاله جيده لكن ينقصها الحياديه
حيث يبدو لي أن الكاتب أنجرف خلف عاطفته في كثير من المحاور79.170.51.169 (نقاش) أين المناطق اللتي ليس فيها حيادية في المقالة توجد يد حمراء بأن المقالة ليست حيادية وتحتاج اعادة كتابة , حسنا لا انكر ان البعض يشبه أسامة بهتلر وبعضهم يشبهه بمحمد بن عبدالوهاب لذا أريد ان استفسر أين يوجد الكلام الغير حيادي حتى يتم تعديله وأيضا في فقرة أقوال البعض فيه كلام الشيخ ابن باز ليس له اي علاقة باسامة بن لادن بل حتى لاينطبق عليه من بعيد . نقطة : الشعر ليس له داعي . (Mojackjutaily (نقاش) 19:42، 2 يوليو 2011 (ت ع م)) فقرة وفاته غير موسوعية بالمرة فقرة وفاته غير موسوعية بالمرة الاستخبارات المركزية الامريكية لم تقم بنشر فيديوا او صورة توضح جثة  قتل الشيخ بن لادن اذا لايجب تاكيد الخبر على ويكيبيديا فقد  تكون المخبارات الامريكية تكذب كما في قضية اسلحة الدمار الشامل العراقية لغاية سياسية معقدة او مستقبلية لذا يجب تبديل صيغة قتل بن لادن في عملية كذا وكذا وفي الوقت الفلاني الى اكدت وكالة المخابرات المركزية انها قتلة بن لادن بعملية كذا وفي الوقت الفلاني الى ان نرجع الى صيغة  قتل بن لادن في عملية كذا وكذا وفي الوقت الفلاني بعد ان تعطي المخبارات المريكية  دليل واضح --Iljia (نقاش) 21:38، 17 أكتوبر 2011 (ت ع م) تطوير مقال أنا من سيطور هذا المقال.  khalid alshamrani (نقاش) 21:05، 2 يناير 2012 (ت ع م) صلاة الغائب لم تصلى صلاة الغائب على اوسامه في السعودية فلماذا اضيفت مؤخراً اسامة لا يحتاج لدفاع الا تري بموت اسامة اسامة خسارة للمسلمين بوفاة رجل احيا سنة الجهاد  في انة كانت تتوفر لة كل سبل الحياة الكريمة دون ان يجعل لكل ذلك اراد ان يرتاح ويعيش الحياة الكريمة عند ربة وثانيا هو لايحتاج  الي احد ان يتعاطف معة وجذا الله الكاتب كل خير علي مجهودة الكريم والله الذي لا الة غيرة لو كان اسامة رحمة الله علية عند الامركان او اليهود لاقيمت لة الكرنفالات وكل العرب احتفلو بانجازاتة كبطل  ةاتقوا الله ولا تسبخسو الناس قدرهم  وانصر اخاك ظالما او مظلوم رحمك الله يارجل قل فية الرجال والله ان الشيخ اسامة ما يحتاج اننا ندافع عنو اى رجل منصف فى هذة الدنيا يرى الحقيقة بوضوح كامل ان هذا الرجل فضل الحياة الاخرة عن الحية الدنيا فضل ما عند الله وطلق الدنيا بكل زينتها من مال وسلطان وجاة ونساء ورغب فى جزاء الله واللهم ارزقة الفردوس الاعلى وصحبة نبيك واحشرنا فى زمرتهم يأرحم الراحمين برحمتك ومنك وفضلك يارب العالمين نص لا علاقة له بالفقرة في الفقرة التي بعنوان""آراء حول ابن لادن"" وتحت العنوان ""المعارضون"" ورد هذا النص:
(ابن باز: أما ما يقوم به الآن محمد المسعري وسعد الفقيه وأشباههما من ناشري الدعوات الفاسدة الضالة فهذا بلا شك شر عظيم، وفساد كبير، والواجب الحذر من نشراتهم، والقضاء عليها، وإتلافها، وعدم التعاون معهم في أي شيء يدعو إلى الفساد والشر والباطل والفتن، ويجب لزاما عدم التعاون معهم والتحذير منهم ومما ينشرونه والقضاء عليه لأن الله أمر بالتعاون على البر والتقوى، لا بالتعاون على الفساد والشر، ونشر الكذب، ونشر الدعوات الباطلة التي تسبب الفرقة واختلال الأمن إلى غير ذلك. هذه النشرات التي تصدر من الفقيه، أو من المسعري، أو من غيرهما من دعاة الباطل ودعاة الشر.)
أظن أن هذا النص لا علاقة له بابن لادن ولم يذكر فيه بن لادن تصريحا ولا تلميحاً إنما هو كلام عام يمكن حمله على أي شخص على سبيل الذم إخفاء  مرحبا أخي. هل يمكن إخفاء التعديل الذي استرجعته. تحياتي---1339861mzb (نقاش) 13:00، 16 ديسمبر 2014 (ت ع م)"
"أفغانستان"	"تعتبر القومية الافغانية من اهم القوميات في وسط اسيا وهي تتمركز في افانستان وترجع في اصولها للاقوام الارية وهم بذلك اخوة لفرس والاكراد والهنودوالطاجيك (وليسو منهم ) والافغان بالاصل هم قبائل البشتون وهذا ماتؤكده الدراسات والبحوث العلمية الرصينة ولا صحة ان الافغان فرس بل هم اخوة لهم كما تردد الماكنة الاعلامية الايرانية والقومية الافغانية انجبت العديد من اعلام الامة اشهرهم الامام ابو حنيفة النعمان في العصور الوسطى والسيد جمال الدين الافغاني في العصر الحديث وهذا ما اكده المؤرخ المرحوم مصطفى جواد تصحيح مقالة أفغانستان (قسم جديد)   salihbudair@gmail.com السكان يتكون سكان أفغانستان من عدّة مجموعات عرقية هي:[10][11][12]
البشتون، حوالي 40%
الطاجيك، حوالي 25%
الهزارة، حوالي 20%
التركمان ،حوالي2%
الأوزبك ،حوالي7,5% مجموعات أخرى، 4,5% [عدل]اللغة
يتحدث الأفغان عدّة لغات بالتوزيع الآتي :
اللغة الدارية أكثر اللغات شيوعًا في أفغانستان من حيث التحدث والاستخدام، يتحدث بها نحو 40 في المائة)
بشتو 35% وتعتبر اللغة الثانية الرسمية. والبشتو هي اللغة الأفغانية
اللغة الأوزبكية ويمثلون 8% من الشعب.
اللغة العربية وهم قلة يعيشون في مدينة مزار شريف
تعتبر اللغة الدارية هي اللغة الأكثر استخداما للبلاد، ويتحدث بها نحو 80 ٪ من السكان، في حين يتحدث حوالي 50% من السكان لغة الباشتو ويفهمونها. ووفقًا ""لاستطلاع تناول الشعب الأفغان - أفغانستان في عام 2006"" [13] تبين أن نسبة من يتحدث اللغة الدارية كلغة أولى 49 ٪ من السكان، في حين يتحدثها نسبة 37 ٪ كلغة ثانية.(فيكون مجمل من يتحدثونها 86%). أما نسبة من يتحدث لغة الباتشو كلغة أولى فهي 40% من إجمالي عدد السكان، في حين يتحدثها نسبة 27% إضافية كلغة ثانية. (الإجمالي 67%). أما اللغة الأوزبكية فهي منطوقة أو مفهومة من قِبَل 6% من إجمالي عدد السكان، بينما اللغة التركمانية فنسبة من يتحدثها أو يفهمها هي 3%ووفقا لللاستقصاء""أفغانستان: إلى أين وصلت الأمور"" (حول متوسط الإرقام من 2005-2009)، تبين أن 69% من العينة التي تم مقابلتها تفضل اللغة الفارسية، بينما تتحدث 31% من العينة لغة الباشتو.[12]
[عدل]الدين
من الناحية الدينية، يعتبر أكثر من 99 ٪ من الأفغان من المسلمين : نحو 74-80 ٪ من السنة و19-25 ٪ من الشيعة [14][15][16] وهذه التقديرات متغيرة). وحتى منتصف الثمانينيات من القرن الماضي، كان هناك نحو 30،000 إلى 150،000 من الهندوس والسيخ وهم يعيشون في مدن مختلفة، غالبًا في جلال آباد، وكابول، وقندهار.[17][18]
وكان تعيش في أفغانستان أقلية يهودية (انظر: يهود بخران)، والذين فروا من البلاد إبان الغزو السوفيتي، ولم يبق منهم إلا فرد واحد وهو، زبلون سيمينتوف[19]'نص مائل ملاحظةنص غليظنص غليظ'--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)'--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)
هذا المقال كتبه واحد أجزم أنه شيعي أو يعمل للشيعة ولكن الأمر الذي يؤسفني هو نشرأصحاب هذه الصفحة مقاله بدون تحقيق وتثبت إنما ماكتبه صاحب المقال عن نسبة عدد السكان واللغات القومية ونسبة التحدث بها والدين ..... إنما غلط وخطأ عمد فيه واستعصب يجب أن يزال عن هذه الصفحة, يجب أن يُراجع إلى المصادر الصحيحة بكل أسف أقول رغم وجود المصادر المكثفة ورغم استطاعة أصحاب هذه الصفحة الوصول إلى أي نوع من المعلومات لماذا وضعوا هذه المعلومات الخاطئة في هذه الصفحة أرجو تصحيح هذه المعلومات كالتالي: يتكون سكان أفغانستان من عدّة مجموعات عرقية هي:[10][11][12]
البشتون، حوالي 62%
الطاجيك، حوالي 19%
الهزارة، حوالي 5%
التركمان ،حوالي3%
الأوزبك ،حوالي5% مجموعات أخرى، 4,5% بالنسبة للغات فهي البشتوية’ ثم الدارية وغيرها....... تتحدث بها حسب عدد أفرادها وليس كمايقوله صاحب المقال...... بالنسبة الديانة لاشك أن 99% من أفرادها مسلمين, إلا أن نسبة أهل السنة والجماعة تبدأ من:85% إلى 89% والشيعة تتكون من :9% إلى 15% فقط أرجو تصحيح ذلك--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)--78.101.98.41 (نقاش) 08:04، 28 فبراير 2013 (ت ع م)
(البشتون 60%) انظر الوكيبيديا الانكليزية وهي الاصح"
"شرق أوسط"	"طلب نقل يجب نقل هذه المقالة الى الشرق الأوسط لانها اسم علم، ولأن الأخيرة فيها أكثر من تعديل غير محذوف يمكن لإداري من الموسوعة فقط عمل النقل. AshrafSS 11:00, 8 سبتمبر 2006 (UTC) قمت بالنقل اليدوي. ~محمد~ (ناقش) 11:19, 8 سبتمبر 2006 (UTC)"
"بيل غيتس"	"أعتقد أن الموضوع يحتاج لتعديل ، المعلومات التي وردت صحيحة ولكننا نحتاج كموسوع ان لا نتخذ موقفا دعائيا لأي شخص أو شركة أو تيار سياسي أو منظمة ، أقترح لمحرر(ي) المقال رؤية نظيرة باللغة الإنجليزية في ويكيبيديا الإنجليزية ومحاولة القيام بمثله فهو موضوع وبه كل المعلومات ولكن بطريقة غير دعائية. جزء منسوخ لقد استرجعت المقالة إلى نسخة ما قبل إضافة جزأ يبدو أنه منسوخ من مواقع أخرى، هذا عدا كونه نضا إنشائيا يفتقر لمعايير ويكبيديا. النص المحذوف يوجد بنصه هنا (انظر أيضا بحث جوجل) --خالد حسنى 14:13, 27 ديسمبر 2006 (UTC) 
الإضافة لمقالة بيل غيتس بتاريخ 6/1/2009 : لقد تم إضافة الكثير إلى هذه المقالة وكل المعلومات التي أضيفت هي ترجمة لما ورد في مقالات ويكيبيديا الإنجليزية عن بيل غيتس بالإضافة لموسوعات أخرى مثل answers ( راجع قائمة المصادر). وأرجو أن تفيد القارئ العربي وتثري معلوماته محررة المقال --Jona (نقاش) 22:21، 6 يناير 2009 (UTC)
ّّّّ إستفسار مكتوب في قسم حياته الشخصيه: فمنحت ما يقارب 210 مليون دولار أمريكي لجامعة كامبريدج في العام2000، و1 دولار أمريكي لاتحاد يمول طلاب الجامعات الأمريكيين من أصل إفريقي. هل اعطي 1 دولار للاتحاد؟؟؟"
